"Stage","Session Number","Session Heading (Topic)","New Content Focus"
"Stage 1: Electrical Fundamentals & Wiring","1","Electrical Fundamentals (AC/DC)",""
"Stage 1: Electrical Fundamentals & Wiring","2","Earthing & Lightning Protection",""
"Stage 1: Electrical Fundamentals & Wiring","3","Multimeter Practical",""
"Stage 1: Electrical Fundamentals & Wiring","4","Electrical Safety & PPE",""
"Stage 1: Electrical Fundamentals & Wiring","5","Power Supply & SMPS",""
"Stage 1: Electrical Fundamentals & Wiring","6","Reading Electrical Drawings",""
"Stage 1: Electrical Fundamentals & Wiring","7","Cable Selection & Management",""
"Stage 2: Analog CCTV Systems","8","Analog & IP CCTV",""
"Stage 2: Analog CCTV Systems","9","Camera Selection & Design",""
"Stage 2: Analog CCTV Systems","10","Lens & Field of View",""
"Stage 3: Networking Fundamentals & Infrastructure","11","IP Addressing & Subnetting",""
"Stage 3: Networking Fundamentals & Infrastructure","12","Router & Switch Configuration",""
"Stage 3: Networking Fundamentals & Infrastructure","13","VLAN Basics",""
"Stage 3: Networking Fundamentals & Infrastructure","14","PoE & PoE Switches",""
"Stage 3: Networking Fundamentals & Infrastructure","15","Fiber Optic Basics",""
"Stage 3: Networking Fundamentals & Infrastructure","16","Network Troubleshooting",""
"Stage 4: IP Camera Systems & VMS","17","DVR, NVR & Hybrid Systems",""
"Stage 4: IP Camera Systems & VMS","18","RAID & Storage Design",""
"Stage 4: IP Camera Systems & VMS","19","ONVIF Standards",""
"Stage 4: IP Camera Systems & VMS","20","Video Compression (H.264/H.265/H.265+)",""
"Stage 4: IP Camera Systems & VMS","21","AI Analytics",""
"Stage 4: IP Camera Systems & VMS","22","ANPR (Automatic Number Plate Recognition)",""
"Stage 4: IP Camera Systems & VMS","23","Facial Recognition",""
"Stage 5: Network & Camera Troubleshooting","24","ColorVu, AcuSense & Thermal Cameras",""
"Stage 6: Building Communication Systems (VDP, Intercom, PA)","25","PTZ Cameras",""
"Stage 6: Building Communication Systems (VDP, Intercom, PA)","26","Remote Viewing & Cloud",""
"Stage 6: Building Communication Systems (VDP, Intercom, PA)","27","Cybersecurity",""
"Stage 6: Building Communication Systems (VDP, Intercom, PA)","28","Troubleshooting & Maintenance",""
"Stage 7: Hotel Locks & Smart Locks","29","Video Door Phone",""
"Stage 7: Hotel Locks & Smart Locks","30","Access Control",""
"Stage 8: Access Control, Biometrics & Attendance","31","Biometric Systems",""
"Stage 8: Access Control, Biometrics & Attendance","32","Smart Locks",""
"Stage 8: Access Control, Biometrics & Attendance","33","Boom Barrier",""
"Stage 8: Access Control, Biometrics & Attendance","34","Gate Automation",""
"Stage 9: Boom Barriers & Vehicle Gate Systems","35","Intruder Alarm Systems",""
"Stage 9: Boom Barriers & Vehicle Gate Systems","36","Fire Alarm Systems",""
"Stage 10: Building Management Systems (BMS)","37","PA/BGM Systems",""
"Stage 10: Building Management Systems (BMS)","38","Intercom Systems",""
"Stage 10: Building Management Systems (BMS)","39","Elevator Access Control",""
"Stage 10: Building Management Systems (BMS)","40","Visitor Management",""
"Stage 11: Smart Home Automation, IoT & KNX","41","Hotel Lock Systems",""
"Stage 11: Smart Home Automation, IoT & KNX","42","Parking Management",""
"Stage 11: Smart Home Automation, IoT & KNX","43","Basic Building Management Systems (BMS)",""
"Stage 11: Smart Home Automation, IoT & KNX","44","KNX Fundamentals",""
"Stage 11: Smart Home Automation, IoT & KNX","45","Wi-Fi Smart Home",""
"Stage 11: Smart Home Automation, IoT & KNX","46","Zigbee & Z-Wave",""
"Stage 11: Smart Home Automation, IoT & KNX","47","Matter & Thread",""
"Stage 12: Business, Project Engineering & Career","48","Alexa & Google Home Integration",""
"Stage 12: Business, Project Engineering & Career","49","Home Assistant",""
"Stage 12: Business, Project Engineering & Career","50","Smart Lighting & Curtain",""
"Stage 12: Business, Project Engineering & Career","51","Smart Irrigation & Energy Monitoring",""
"Stage 12: Business, Project Engineering & Career","52","Solar CCTV & IoT Fundamentals",""
"Stage 12: Business, Project Engineering & Career","53","Site Survey & BOQ/Quotation",""
"Stage 12: Business, Project Engineering & Career","54","Project Planning & Installation Standards",""
"Stage 12: Business, Project Engineering & Career","55","Testing, Commissioning & AMC",""
"Stage 12: Business, Project Engineering & Career","56","Customer Support & Sales/Negotiation",""
"Stage 12: Business, Project Engineering & Career","57","Digital Marketing & Business Automation",""
"Stage 12: Business, Project Engineering & Career","58","Business Setup & Entrepreneurship",""
"Stage 12: Business, Project Engineering & Career","59","Placement Training & Career Prep",""
